,id0,id1,points_0,points_1,spread,over_under
0,North Carolina,South Carolina,13,17,3.5,None
0,FIU,UCF,15,14,-11.5,None
0,C. Michigan,Oklahoma State,13,24,21.5,None
0,Vanderbilt,W. Kentucky,12,14,2.0,None
0,Michigan,Utah,17,24,5.0,None
0,Minnesota,TCU,17,24,16.5,None
0,Idaho,Ohio,28,45,6.5,None
0,Duke,Tulane,37,7,5.5,None
0,Arizona,UTSA,42,32,33.0,None
0,Michigan State,W. Michigan,37,24,16.5,None
0,Baylor,SMU,56,21,36.5,None
0,Boise State,Washington,16,13,12.5,None
0,Northwestern,Stanford,16,6,-10.0,None
0,Georgia,La.-Monroe,51,14,35.5,None
0,UCLA,Virginia,34,16,18.0,None
0,Arkansas,UTEP,48,13,31.5,None
0,Auburn,Louisville,31,24,10.5,None
0,Bowling Green,Tennessee,30,59,21.5,None
0,Akron,Oklahoma,3,41,31.0,None
0,Arizona State,Texas A&M,17,38,3.0,None
0,Notre Dame,Texas,38,3,9.0,None
0,Alabama,Wisconsin,35,17,12.5,None
0,Florida State,Texas State,59,16,28.0,None
0,Arkansas State,Southern Cal,6,55,27.0,None
0,Ohio State,Virginia Tech,42,24,13.5,None
0,La. Tech,W. Kentucky,38,41,2.5,None
0,FAU,"Miami, FL",20,44,17.5,None
0,Utah,Utah State,24,14,11.5,None
0,Florida State,South Florida,34,14,28.5,None
0,Georgia Tech,Tulane,65,10,30.5,None
0,Notre Dame,Virginia,34,27,12.5,None
0,Hawaii,Ohio State,0,38,41.0,None
0,Michigan,Oregon State,35,7,14.5,None
0,Army,Connecticut,17,22,7.0,None
0,Kansas State,UTSA,30,3,16.5,None
0,Bowling Green,Maryland,48,27,-7.5,None
0,Houston,Louisville,34,31,-13.5,None
0,Buffalo,Penn State,14,27,17.5,None
0,"Miami, OH",Wisconsin,0,58,31.0,None
0,Syracuse,Wake Forest,30,17,4.0,None
0,Colorado,Massachusetts,48,14,14.0,None
0,Texas Tech,UTEP,69,20,20.0,None
0,Colorado State,Minnesota,20,23,5.0,None
0,Rutgers,Washington State,37,37,-3.5,None
0,Georgia,Vanderbilt,31,14,21.0,None
0,Fresno State,Mississippi,21,73,32.5,None
0,Alabama,MTSU,37,10,34.5,None
0,Arkansas,Toledo,12,16,-23.0,None
0,E. Michigan,Wyoming,48,29,-12.0,None
0,Iowa,Iowa State,31,17,3.0,None
0,California,San Diego State,35,7,13.5,None
0,Oklahoma,Tennessee,31,24,2.0,None
0,Akron,Pittsburgh,7,24,12.5,None
0,Georgia Southern,W. Michigan,43,17,-5.0,None
0,North Texas,SMU,13,31,6.0,None
0,Marshall,Ohio,10,21,-3.0,None
0,Arizona,Nevada,44,20,9.5,None
0,Ball State,Texas A&M,23,56,31.0,None
0,Arkansas State,Missouri,20,27,10.0,None
0,East Carolina,Florida,24,31,20.5,None
0,Kansas,Memphis,23,55,12.0,None
0,Kentucky,South Carolina,26,22,-7.0,None
0,Idaho,Southern Cal,9,59,45.0,None
0,Michigan State,Oregon,31,28,5.0,None
0,Nebraska,South Alabama,48,9,27.5,None
0,Rice,Texas,28,42,14.5,None
0,FIU,Indiana,22,36,8.5,None
0,Cincinnati,Temple,26,34,-6.0,None
0,New Mexico,Tulsa,21,40,-6.5,None
0,Georgia State,New Mexico State,34,32,-4.5,None
0,LSU,Mississippi State,21,19,3.5,None
0,Air Force,San Jose State,37,16,4.5,None
0,BYU,Boise State,35,24,-2.5,None
0,UCLA,UNLV,37,3,32.5,None
0,Stanford,UCF,31,7,20.0,None
0,Clemson,Louisville,20,17,5.0,None
0,Boston College,Florida State,0,14,8.5,None
0,Connecticut,Missouri,6,9,21.5,None
0,Nevada,Texas A&M,27,44,31.5,None
0,Oklahoma,Tulsa,52,38,32.0,None
0,Air Force,Michigan State,21,35,24.5,None
0,Duke,Northwestern,10,19,-3.5,None
0,Georgia State,Oregon,28,61,42.5,None
0,Auburn,LSU,21,45,6.5,None
0,N. Illinois,Ohio State,13,20,34.0,None
0,Troy,Wisconsin,3,28,29.5,None
0,Oklahoma State,UTSA,69,14,26.0,None
0,Georgia Tech,Notre Dame,22,30,-1.0,None
0,Georgia,South Carolina,52,20,15.0,None
0,SMU,TCU,37,56,37.0,None
0,Southern Cal,Stanford,31,41,-10.0,None
0,Alabama,Mississippi,37,43,-8.5,None
0,BYU,UCLA,23,24,16.5,None
0,Fresno State,Utah,24,45,12.0,None
0,Arizona State,New Mexico,34,10,25.5,None
0,Maryland,South Florida,35,17,6.0,None
0,Michigan,UNLV,28,7,32.5,None
0,Kent State,Minnesota,7,10,24.0,None
0,Buffalo,FAU,33,15,-2.5,None
0,Illinois,North Carolina,14,48,6.5,None
0,Army,Wake Forest,14,17,7.0,None
0,C. Michigan,Syracuse,27,30,8.0,None
0,North Texas,Rice,24,38,7.5,None
0,Massachusetts,Temple,23,25,13.0,None
0,Ball State,E. Michigan,28,17,4.5,None
0,Bowling Green,Memphis,41,44,3.5,None
0,Kansas State,La. Tech,39,33,10.0,None
0,Cincinnati,"Miami, OH",37,33,21.0,None
0,East Carolina,Navy,21,45,4.5,None
0,Purdue,Virginia Tech,24,51,5.5,None
0,"Miami, FL",Nebraska,36,33,3.5,None
0,Indiana,W. Kentucky,38,35,2.5,None
0,Utah State,Washington,17,31,7.0,None
0,Southern Miss,Texas State,56,50,-1.5,None
0,Arkansas,Texas Tech,24,35,-10.0,None
0,N.C. State,Old Dominion,38,14,17.5,None
0,Colorado,Colorado State,27,24,3.0,None
0,Florida,Kentucky,14,9,3.5,None
0,California,Texas,45,44,5.0,None
0,Penn State,Rutgers,28,3,9.0,None
0,New Mexico State,UTEP,47,50,3.0,None
0,San Diego State,South Alabama,27,34,-17.5,None
0,Iowa,Pittsburgh,27,24,4.0,None
0,Oregon State,San Jose State,35,21,6.5,None
0,Iowa State,Toledo,23,30,7.5,None
