,id0,id1,points_0,points_1
0,California,Hawaii,51.0,31.0
0,Appalachian State,Tennessee,13.0,20.0
0,Charlotte,Louisville,14.0,70.0
0,Tulane,Wake Forest,3.0,7.0
0,FIU,Indiana,13.0,34.0
0,South Carolina,Vanderbilt,13.0,10.0
0,Rice,W. Kentucky,14.0,46.0
0,Minnesota,Oregon State,20.0,13.0
0,Ball State,Georgia State,31.0,21.0
0,Kansas State,Stanford,13.0,26.0
0,Army,Temple,26.0,13.0
0,Colorado  ,Colorado State,44.0,7.0
0,Arkansas State,Toledo,10.0,31.0
0,Boston College,Georgia Tech,14.0,17.0
0,Alabama,Southern Cal,52.0,6.0
0,Auburn,Clemson,13.0,19.0
0,Houston,Oklahoma,33.0,23.0
0,LSU,Wisconsin,14.0,16.0
0,Bowling Green,Ohio State,10.0,77.0
0,Hawaii,Michigan,3.0,63.0
0,Rutgers,Washington,13.0,48.0
0,Texas A&M,UCLA,31.0,24.0
0,Iowa,"Miami, OH",45.0,21.0
0,Georgia ,North Carolina,33.0,24.0
0,Florida,Massachusetts,24.0,7.0
0,Northwestern,W. Michigan,21.0,22.0
0,Boise State,La. Lafayette,45.0,10.0
0,Mississippi State,South Alabama,20.0,21.0
0,Missouri,West Virginia,11.0,26.0
0,Kent State,Penn State,13.0,33.0
0,Ohio,Texas State,54.0,56.0
0,Arkansas,La. Tech,21.0,20.0
0,North Texas,SMU,21.0,34.0
0,Kentucky,Southern Miss,35.0,44.0
0,Fresno State,Nebraska,10.0,43.0
0,New Mexico State,UTEP,22.0,38.0
0,San Jose State,Tulsa,10.0,45.0
0,Arizona,BYU,16.0,18.0
0,N. Illinois,Wyoming,34.0,40.0
0,Notre Dame,Texas,47.0,50.0
0,Florida State,Mississippi  ,45.0,34.0
0,Louisville,Syracuse,62.0,28.0
0,FIU,Maryland,14.0,41.0
0,Alabama,W. Kentucky,38.0,10.0
0,Clemson,Troy,30.0,24.0
0,Ohio State,Tulsa,48.0,3.0
0,Michigan  ,UCF,51.0,14.0
0,Idaho,Washington,14.0,59.0
0,Akron,Wisconsin,10.0,54.0
0,Texas,UTEP,41.0,7.0
0,La.-Monroe,Oklahoma,17.0,59.0
0,Arkansas,TCU,41.0,38.0
0,Iowa,Iowa State,42.0,3.0
0,Tennessee,Virginia Tech,45.0,24.0
0,Nevada,Notre Dame,10.0,39.0
0,C. Michigan,Oklahoma State,30.0,27.0
0,Baylor,SMU,40.0,13.0
0,Oregon,Virginia,44.0,26.0
