,id0,id1,points_0,points_1
0,South Carolina,Vanderbilt,17,13
0,Akron,UCF,14,56
0,Ball State,E. Michigan,37,26
0,Rice,UCLA,24,49
0,BYU,Washington State,30,6
0,Minnesota,UNLV,30,27
0,N.C. State,Tennessee,21,35
0,Boise State,Michigan State,13,17
0,San Jose State,Stanford,17,20
0,Navy,Notre Dame,10,50
0,Buffalo,Georgia,23,45
0,Marshall,West Virginia,34,69
0,"Miami, OH",Ohio State,10,56
0,Troy,UAB,39,29
0,Northwestern,Syracuse,42,41
0,Ohio,Penn State,24,14
0,Illinois,W. Michigan,24,7
0,California,Nevada,24,31
0,Nebraska,Southern Miss,49,20
0,Bowling Green,Florida,14,27
0,Iowa State,Tulsa,38,23
0,Boston College,"Miami, FL",32,41
0,Iowa,N. Illinois,18,17
0,Colorado,Colorado State,17,22
0,LSU,North Texas,41,14
0,Auburn,Clemson,19,26
0,Duke,FIU,46,26
0,Hawaii,Southern Cal,10,49
0,Alabama,Michigan,41,14
0,Texas,Wyoming,37,17
0,Rutgers,Tulane,24,12
0,Oklahoma,UTEP,24,7
0,Arkansas State,Oregon,34,57
0,Arizona,Toledo,20,17
0,San Diego State,Washington,12,21
0,Kentucky,Louisville,14,32
0,Baylor,SMU,59,24
0,Georgia Tech,Virginia Tech,17,20
0,Cincinnati,Pittsburgh,34,10
0,Utah,Utah State,20,27
0,Ohio State,UCF,31,16
0,Kansas State,"Miami, FL",52,13
0,Connecticut,N.C. State,7,10
0,Tulane,Tulsa,10,45
0,Maryland,Temple,36,27
0,Penn State,Virginia,16,17
0,Auburn,Mississippi State,10,28
0,East Carolina,South Carolina,10,48
0,Ball State,Clemson,27,52
0,Alabama,W. Kentucky,35,0
0,Southern Cal,Syracuse,42,29
0,C. Michigan,Michigan State,7,41
0,Air Force,Michigan,25,31
0,Notre Dame,Purdue,20,17
0,Florida,Texas A&M,20,17
0,Iowa,Iowa State,6,9
0,Kansas,Rice,24,25
0,Nevada,South Florida,31,32
0,Oregon State,Wisconsin,10,7
0,North Carolina,Wake Forest,27,28
0,Toledo,Wyoming,34,31
0,Akron,FIU,38,41
0,Fresno State,Oregon,25,42
0,LSU,Washington,41,3
0,Arkansas,La.-Monroe,31,34
0,Mississippi,UTEP,28,10
0,Bowling Green,Idaho,21,13
0,New Mexico State,Ohio,24,51
0,Arkansas State,Memphis,33,28
0,Florida Atlantic,MTSU,17,31
0,La.-Lafayette,Troy,37,24
0,Army,San Diego State,7,42
0,Kent State,Kentucky,14,47
0,Georgia,Missouri,41,20
0,Nebraska,UCLA,30,36
0,New Mexico,Texas,0,45
0,Northwestern,Vanderbilt,23,13
0,Houston,La. Tech,49,56
0,Arizona,Oklahoma State,59,38
0,Duke,Stanford,13,50
0,Arizona State,Illinois,45,24
0,Rutgers,South Florida,23,13
0,UNLV,Washington State,27,35
0,Florida State,Wake Forest,52,0
0,California,Ohio State,28,35
0,Pittsburgh,Virginia Tech,35,17
0,Kansas,TCU,6,20
0,Minnesota,W. Michigan,28,23
0,Arkansas State,Nebraska,13,42
0,La.-Lafayette,Oklahoma State,24,65
0,Army,N. Illinois,40,41
0,E. Michigan,Purdue,16,54
0,Auburn,La.-Monroe,31,28
0,Connecticut,Maryland,24,21
0,Alabama,Arkansas,52,0
0,Louisville,North Carolina,39,34
0,Georgia Tech,Virginia,56,20
0,Boston College,Northwestern,13,22
0,Navy,Penn State,7,34
0,SMU,Texas A&M,3,48
0,East Carolina,Southern Miss,24,14
0,Boise State,"Miami, OH",39,12
0,FIU,UCF,20,33
0,Florida,Tennessee,37,20
0,Marshall,Ohio,24,27
0,South Carolina,UAB,49,6
0,Kansas State,North Texas,35,21
0,Kentucky,W. Kentucky,31,32
0,Arizona State,Missouri,20,24
0,MTSU,Memphis,48,30
0,La. Tech,Rice,56,37
0,New Mexico,Texas Tech,14,49
0,Bowling Green,Toledo,15,27
0,Mississippi State,Troy,30,24
0,Southern Cal,Stanford,14,21
0,Florida Atlantic,Georgia,20,56
0,Idaho,LSU,14,63
0,Michigan State,Notre Dame,3,20
0,Colorado State,San Jose State,20,40
0,Ball State,Indiana,41,39
0,Utah State,Wisconsin,14,16
0,Colorado,Fresno State,14,69
0,New Mexico State,UTEP,28,41
0,Mississippi,Texas,31,66
0,BYU,Utah,21,24
0,Houston,UCLA,6,37
0,Buffalo,Kent State,7,23
0,BYU,Boise State,6,7
0,Baylor,La.-Monroe,47,42
0,Maryland,West Virginia,21,31
0,Florida,Kentucky,38,0
0,Ohio State,UAB,29,15
0,TCU,Virginia,27,7
